frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_levl,general_standard_num
1,的,de,"possessive, adjectival suffix",白,106.3,8,1,1155
2,一,yī,"one; a, an; alone",一,1,1,1,1
3,是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",日,72.5,9,1,1479
4,不,bù,"no, not; un-; negative prefix",一,1.3,4,1,91
5,了,le,to finish; particle of completed action,亅,6.1,2,1,17
6,在,zài,"be at, in, on; consist in, rest",土,32.3,6,1,388
7,人,rén,man; people; mankind; someone else,人,9,2,1,10
8,有,yǒu,"have, own, possess; exist",月,74.2,6,1,390
9,我,wǒ,"our, us, i, me, my, we",戈,62.3,7,1,761
10,他,tā,"other, another; he, she, it",人,9.3,5,1,277
11,这,zhè,"this, the, here",辵,162.4,7,1,837
12,个,gè,"numerary adjunct, piece; single",丨,2.2,3,1,45
13,们,men,adjunct pronoun indicate plural,人,9.3,5,1,273
14,中,zhōng,"central; center, middle; in the midst of; hit (target); attain",丨,2.3,4,1,113
15,来,lái,"come, coming; return, returning",木,75.3,7,1,707
16,上,shàng,"top; superior, highest; go up, send up",一,1.2,3,1,36
17,大,dà,"big, great, vast, large, high",大,37,3,1,32
18,为,wèi,"do, handle, govern, act; be",丶,3.3,4,2,165
19,和,hé,"harmony, peace; peaceful, calm",口,30.5,8,1,1131
20,国,guó,"nation, country, nation-state",囗,31.5,8,1,1081
21,地,de,"earth; soil, ground; region",土,32.3,6,3,366
22,到,dào,"go to, arrive, been to",刀,18.6,8,2,1063
23,以,yǐ,"by means of; thereby, therefore; consider as; in order to",人,9.3,4,2,182
24,说,shuō,"speak, say, talk; scold, upbraid",言,149.7,9,1,1717
25,时,shí,"time, season; era, age, period",日,72.3,7,1,717
26,要,yào,"necessary, essential; necessity",襾,146.3,9,2,1441
27,就,jiù,"just, simply; to come, go to; to approach, near",尢,43.9,12,2,2728
28,出,chū,"go out, send out; stand; produce",凵,17.3,5,1,330
29,会,huì,"assemble, meet together; meeting",人,9.4,6,1,486
30,可,kě,"may, can, -able; possibly",口,30.2,5,2,212
31,也,yě,also; classical final particle of strong affirmation or identity,乙,5.2,3,2,66
32,你,nǐ,"you, second person pronoun",人,9.5,7,1,782
33,对,duì,"correct, right; facing, opposed",寸,41.2,5,1,341
34,生,shēng,"life, living, lifetime; birth",生,100,5,1,263
35,能,néng,"to be able; can, permitted to; ability",肉,130.6,10,1,2146
36,而,ér,and; and then; and yet; but,而,126,6,3,392
37,子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",子,39,3,1,64
38,那,nà,"that, that one, those",邑,163.4,6,1,564
39,得,dé,"obtain, get, gain, acquire",彳,60.8,11,2,2341
40,于,yú,"in, on, at; go to; surname",二,7.1,3,3,24
41,着,zhe,"make move, take action",目,109.6,11,2,2398
42,下,xià,"under, underneath, below; down; inferior; bring down",一,1.2,3,1,30
43,自,zì,"self, private, personal; from",自,132,6,3,477
44,之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,4.3,3,4,58
45,年,nián,year,干,51.3,6,1,444
46,过,guò,"pass, pass through, go across",辵,162.3,6,2,379
47,发,fā,"issue, dispatch, send out; hair",又,29.3,5,3,339
48,后,hòu,"queen, empress, sovereign; (simp. for",口,30.3,6,1,482
49,作,zuò,"make; work; compose, write; act, perform",人,9.5,7,1,777
50,里,lǐ,unit of distance; village; lane,里,166,7,1,721
51,用,yòng,"use, employ, apply, operate; use",用,101,5,3,283
52,道,dào,"path, road, street; method, way",辵,162.9,12,2,2745
53,行,xíng,"go; walk; move, travel; circulate",行,144,6,3,483
54,所,suǒ,"place, location; numerary adjunct",戶,63.4,8,2,1164
55,然,rán,"yes, certainly; pledge, promise",火,86.8,12,2,2723
56,家,jiā,"house, home, residence; family",宀,40.7,10,1,2099
57,种,zhǒng,"seed; race, breed; to plant",禾,115.4,9,3,1549
58,事,shì,"affair, matter, business; to serve; accident, incident",亅,6.7,8,2,1038
59,成,chéng,"completed, finished, fixed",戈,62.3,6,3,401
60,方,fāng,"a square, rectangle; a region; local",方,70,4,3,163
61,多,duō,"much, many; more than, over",夕,36.3,6,1,507
62,经,jīng,classic works; pass through,糸,120.5,8,2,1350
63,么,me,interrogative particle; repetition of a tune small; tender,丿,4.2,3,1,48
64,去,qù,"go away, leave, depart",厶,28.3,5,1,204
65,法,fǎ,"law, rule, regulation, statute; France, French",水,85.5,8,3,1241
66,学,xué,"learning, knowledge; school",子,39.5,8,1,1273
67,如,rú,"if, supposing; as if; like, as",女,38.3,6,3,578
68,都,dōu,"metropolis, capital; all, the whole; elegant, refined",邑,163.9,10,1,1801
69,同,tóng,"same, similar; together with",口,30.3,6,1,427
70,现,xiàn,"appear, manifest, become visible",玉,96.4,8,1,949
71,当,dāng,"bear, accept, undertake; just",小,42.3,6,3,418
72,没,méi,"not, have not, none; drown, sink",水,85.4,7,1,867
73,动,dòng,"move, happen; movement, action",力,19.4,6,2,353
74,面,miàn,"face; surface; plane; side, dimension",面,176,9,1,1455
75,起,qǐ,"rise, stand up; go up; begin",走,156.3,10,1,1789
76,看,kàn,"look, see; examine, scrutinize",目,109.4,9,1,1539
77,定,dìng,"decide, settle, fix",宀,40.5,8,3,1276
78,天,tiān,"sky, heaven; god, celestial",大,37.1,4,1,78
79,分,fēn,divide; small unit of time etc.,刀,18.2,4,1,146
80,还,hái,"still, yet, also, besides",辵,162.4,7,2,704
81,进,jìn,"advance, make progress, enter",辵,162.4,7,2,605
82,好,hǎo,"good, excellent, fine; well",女,38.3,6,1,581
83,小,xiǎo,"small, tiny, insignificant",小,42,3,1,37
84,部,bù,"part, division, section",邑,163.8,10,4,2044
85,其,qí,"his, her, its, their; that",八,12.6,8,3,996
86,些,xiē,"little, few; rather, somewhat",二,7.5,8,1,1069
87,主,zhǔ,"master, chief owner; host; lord",丶,3.4,5,3,300
88,样,yàng,"shape, form, pattern, style",木,75.6,10,1,1849
89,理,lǐ,"reason, logic; manage",玉,96.7,11,3,2157
90,心,xīn,"heart; mind, intelligence; soul",心,61,4,3,174
91,她,tā,"she, her",女,38.3,6,1,582
92,本,běn,"root, origin, source; basis",木,75.1,5,1,210
93,前,qián,"in front, forward; preceding",刀,18.7,9,1,1650
94,开,kāi,"open; initiate, begin, start",廾,55.1,4,1,76
95,但,dàn,"only; but, however, yet, still",人,9.5,7,2,774
96,因,yīn,"cause, reason; by; because (of)",囗,31.3,6,2,430
97,只,zhǐ,"only, just, simply",口,30.2,5,3,246
98,从,cóng,"from, by, since, whence, through",人,9.2,4,2,142
99,想,xiǎng,"think, speculate, plan, consider",心,61.9,13,1,2867
100,实,shí,"real, true; honest, sincere",宀,40.5,8,3,1285
101,日,rì,sun; day; daytime,日,72,4,2,112
102,军,jūn,"army, military; soldiers, troops",車,159.2,6,5,552
103,者,zhě,that which; he who; those who,老,125.4,8,3,969
104,意,yì,"thought, idea, opinion; think",心,61.9,13,2,2996
105,无,wú,"negative, no, not; KangXi radical 71",无,71,4,4,81
106,力,lì,"power, capability, influence",力,19,2,3,19
107,它,tā,it; other,宀,40.2,5,2,314
108,与,yǔ,"and; with; to; for; give, grant",一,1.3,3,4,34
109,长,zhǎng,long; length; excel in; leader,長,168,4,2,127
110,把,bǎ,"hold, take; guard; regard as",手,64.4,7,3,655
111,机,jī,desk; machine; moment,木,75.2,6,1,377
112,十,shí,"ten, tenth; complete; perfect",十,24,2,1,4
113,民,mín,"people, subjects, citizens",氏,83.1,5,4,327
114,第,dì,"sequence, number; grade, degree",竹,118.5,11,2,2322
115,公,gōng,"fair, equitable; public; duke",八,12.2,4,2,148
116,此,cǐ,"this, these; in this case, then",止,77.2,6,4,411
117,已,yǐ,already; finished; stop,己,49,3,2,61
118,工,gōng,"labor, work; worker, laborer",工,48,3,1,26
119,使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",人,9.6,8,4,1139
120,情,qíng,"feeling, sentiment, emotion",心,61.8,11,2,2438
121,明,míng,"bright, light, brilliant; clear",日,72.4,8,1,1087
122,性,xìng,"nature, character, sex",心,61.5,8,4,1268
123,知,zhī,"know, perceive, comprehend",矢,111.3,8,2,1122
124,全,quán,"maintain, keep whole or intact",入,11.4,6,4,485
125,三,sān,three,一,1.2,3,1,22
126,又,yòu,"and, also, again, in addition",又,29,2,3,21
127,关,guān,frontier pass; close; relation,八,12.4,6,1,532
128,点,diǎn,"dot, speck, spot; point, degree",火,86.5,9,1,1469
129,正,zhèng,"right, proper, correct",止,77.1,5,2,198
130,业,yè,"profession, business; GB radical 111",一,1.4,5,3,231
131,外,wài,"out, outside, external; foreign",夕,36.2,5,2,293
132,将,jiāng,"will, going to, future; general",爿,90.6,9,4,1617
133,两,liǎng,"two, both, pair, couple; ounce",一,1.6,7,2,697
134,高,gāo,"high, tall; lofty, elevated",高,189,10,1,2021
135,间,jiān,"midpoint, space; place, locality",門,169.4,7,2,847
136,由,yóu,"cause, reason; from",田,102,5,4,245
137,问,wèn,"ask about, inquire after",門,169.3,6,2,528
138,很,hěn,"very, quite, much",彳,60.6,9,1,1584
139,最,zuì,"most, extremely, exceedingly",曰,73.8,12,2,2614
140,重,zhòng,"heavy, weighty; double",里,166.2,9,3,1552
141,并,bìng,and,干,51.5,6,4,531
142,物,wù,"thing, substance, creature",牛,93.4,8,3,1127
143,手,shǒu,hand,手,64,4,2,121
144,应,yīng,"should, ought to, must",广,53.4,7,3,836
145,战,zhàn,"war, fighting, battle",戈,62.5,9,5,1468
146,向,xiàng,"toward, direction, trend",口,30.3,6,3,480
147,头,tóu,"head; top; chief, first; boss",大,37.2,5,3,310
148,文,wén,"literature, culture, writing",文,67,4,3,161
149,体,tǐ,"body; group, class, body, unit; inferior",人,9.5,7,2,770
150,政,zhèng,"government, political affairs",攴,66.4,9,5,1376
151,美,měi,"beautiful, pretty; pleasing",羊,123.3,9,4,1642
152,相,xiāng,"mutual, reciprocal, each other",目,109.4,9,3,1430
153,见,jiàn,"see, observe, behold; perceive",見,147,4,1,118
154,被,bèi,Is,衣,145.5,10,3,2118
155,利,lì,"gains, advantage, profit, merit",刀,18.5,7,4,763
156,什,shén,"file of ten soldiers; mixed, miscellaneous",人,9.2,4,1,129
157,二,èr,two; twice,二,7,2,1,3
158,等,děng,Wait,竹,118.6,12,2,2681
159,产,chǎn,"give birth, bring forth, produce",立,117.1,6,5,522
160,或,huò,"or, either, else; perhaps, maybe",戈,62.4,8,3,1035
161,新,xīn,"new, recent, fresh, modern",斤,69.9,13,2,2994
162,己,jǐ,"self, oneself; personal, private; 6th heavenly stem",己,49,3,3,60
163,制,zhì,system; establish; overpower,刀,18.6,8,5,1121
164,身,shēn,"body; trunk, hull; rad. no. 158",身,158,7,2,786
165,果,guǒ,fruit; result,木,75.4,8,1,1079
166,加,jiā,"add to, increase, augment",力,19.3,5,3,335
167,西,xī,"west(ern); westward, occident",襾,146,6,1,384
168,斯,sī,"this, thus, such; to lop off; emphatic particle",斤,69.8,12,6,2541
169,月,yuè,moon; month; KangXi radical 74,月,74,4,1,150
170,话,huà,"speech, talk, language; dialect",言,149.6,8,1,1296
171,合,hé,"combine, unite, join; gather",口,30.3,6,4,488
172,回,huí,"return, turn around; a time",囗,31.3,6,1,438
173,特,tè,"special, unique, distinguished",牛,93.6,10,3,1938
174,代,dài,"replace, replacement (of person or generation); era, generation",人,9.3,5,5,271
175,内,nèi,inside,入,11.2,4,4,116
176,信,xìn,"trust, believe; letter",人,9.7,9,3,1570
177,表,biǎo,"show, express, manifest, display",衣,145.3,8,2,951
178,化,huà,"change, convert, reform; -ize",匕,21.2,4,3,132
179,老,lǎo,"old, aged; experienced",老,125,6,1,360
180,给,gěi,"give; by, for",糸,120.6,9,2,1758
181,世,shì,generation; world; era,一,1.4,5,3,206
182,位,wèi,"throne; position, post; rank, status; seat",人,9.5,7,3,784
183,次,cì,"order, sequence; next",欠,76.2,6,2,521
184,度,dù,"degree, system; manner; to consider",广,53.6,9,4,1622
185,门,mén,"gate, door, entrance, opening",門,169,3,2,55
186,任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",人,9.4,6,4,467
187,常,cháng,"common, normal, frequent, regular",巾,50.8,11,2,2257
188,先,xiān,"first, former, previous",儿,10.4,6,1,446
189,海,hǎi,"sea, ocean; maritime",水,85.7,10,4,2074
190,通,tōng,"pass through, common, communicate",辵,162.7,10,4,2145
191,教,jiào,"teach, class",攴,66.7,11,2,2179
192,儿,ér,"son, child; KangXi radical 10",儿,10,2,1,12
193,原,yuán,"source, origin, beginning",厂,27.8,10,4,1868
194,东,dōng,"east, eastern, eastward",一,1.4,5,1,225
195,声,shēng,"sound, voice, noise; tone; music",士,33.4,7,3,654
196,提,tí,hold in hand; lift in hand,手,64.9,12,3,2520
197,立,lì,"stand; let stand; establish, set",立,117,5,5,302
198,及,jí,extend; reach; come up to; and,又,29.2,3,4,52
199,比,bǐ,"to compare, liken; comparison; than",比,81,4,2,105
200,员,yuán,"member; personnel, staff member",口,30.4,7,2,737
201,解,jiě,"loosen, unfasten, untie; explain",角,148.6,13,3,2981
202,水,shuǐ,"water, liquid, lotion, juice",水,85,4,1,117
203,名,míng,"name, rank, title, position",口,30.3,6,1,505
204,真,zhēn,"real, actual, true, genuine",目,109.5,10,2,1832
205,论,lùn,debate; discuss; discourse,言,149.4,6,4,556
206,处,chù,"place, locale; department",夂,34.2,5,4,294
207,走,zǒu,"walk, go on foot; run; leave",走,156,7,2,625
208,义,yì,"right conduct, righteousness",丿,4.2,3,5,57
209,各,gè,"each, individually, every, all",口,30.3,6,4,506
210,入,rù,"enter, come in(to), join",入,11,2,4,11
211,几,jǐ,small table,几,16,2,1,14
212,口,kǒu,"mouth; open end; entrance, gate",口,30,3,3,38
213,认,rèn,"recognize, know, understand",言,149.2,4,1,171
214,条,tiáo,"clause, condition; string, stripe",木,75.3,7,2,816
215,平,píng,"flat, level, even; peaceful",干,51.2,5,3,222
216,系,xì,"system; line, link, connection",糸,120.1,7,1,825
217,气,qì,"steam, vapor; KangXi radical 84",气,84,4,1,122
218,题,tí,"forehead; title, headline; theme",頁,181.9,15,2,3233
219,活,huó,"live, exist, survive; lively",水,85.6,9,4,1672
220,尔,ěr,"you; that, those; final particle",小,42.2,5,4,286
221,更,gèng,"more, still further, much more",曰,73.3,7,3,693
222,别,bié,"separate, other; do not",刀,18.5,7,2,751
223,打,dǎ,"strike, hit, beat; fight; attack",手,64.2,5,1,196
224,女,nǚ,"woman, girl; feminine; rad. 38",女,38,3,1,67
225,变,biàn,"change, transform, alter; rebel",又,29.6,8,3,1204
226,四,sì,four,囗,31.2,5,1,262
227,神,shén,"spirit, god, supernatural being",示,113.5,9,5,1711
228,总,zǒng,"collect; overall, altogether",八,12.7,9,3,1654
229,何,hé,"what, why, where, which, how",人,9.5,7,4,771
230,电,diàn,electricity; electric; lightning,曰,73.1,5,1,242
231,数,shù,"number; several, count; fate",攴,66.9,13,3,2999
232,安,ān,"peaceful, tranquil, quiet",宀,40.3,6,3,549
233,少,shǎo,"few, less, inadequate",小,42.1,4,1,110
234,报,bào,"report, tell, announce",手,64.4,7,2,656
235,才,cái,"talent, ability; just, only",手,64,3,3,29
236,结,jié,"knot, tie; join, connect",糸,120.6,9,3,1754
237,反,fǎn,"reverse, opposite, contrary, anti",又,29.2,4,4,139
238,受,shòu,"receive, accept, get; bear, stand",又,29.6,8,4,1174
239,目,mù,"eye; look, see; division, topic",目,109,5,3,236
240,太,tài,"very, too, much; big; extreme",大,37.1,4,1,93
241,量,liàng,"measure, quantity, capacity",里,166.5,12,4,2616
242,再,zài,"again, twice, re-",冂,13.4,6,1,382
243,感,gǎn,"feel, perceive, emotion",心,61.9,13,3,2875
244,建,jiàn,"build, establish, erect, found",廴,54.6,8,4,1302
245,务,wù,"affairs, business; must, should",夂,34.2,5,2,297
246,做,zuò,"work, make; act",人,9.9,11,1,2324
247,接,jiē,receive; continue; catch; connect,手,64.8,11,3,2185
248,必,bì,"surely, most certainly; must",心,61.1,5,3,321
249,场,chǎng,"open space, field, market",土,32.3,6,2,367
250,件,jiàn,numerary adjunct for article; matter,人,9.4,6,2,466
251,计,jì,"plan, plot; strategem; scheme",言,149.2,4,4,168
252,管,guǎn,"pipe, tube, duct; woodwind music",竹,118.8,14,4,3123
253,期,qī,period of time; date; time limit,月,74.8,12,1,2542
254,市,shì,"market, fair; city, town; trade",巾,50.2,5,3,301
255,直,zhí,"straight, erect, vertical",目,109.3,8,3,1011
256,德,dé,"ethics, morality, virtue",彳,60.12,15,5,3272
257,资,zī,property; wealth; capital,貝,154.6,10,4,2039
258,命,mìng,"life; destiny, fate, luck; an order, instruction",口,30.5,8,4,1168
259,山,shān,"mountain, hill, peak",山,46,3,3,39
260,金,jīn,gold; metals in general; money,金,167,8,4,1166
261,指,zhǐ,"finger, toe; point, indicate",手,64.6,9,4,1389
262,克,kè,gram; overcome; transliteration,儿,10.5,7,4,675
263,许,xǔ,"allow, permit; promise; betroth",言,149.4,6,4,554
264,统,tǒng,"govern, command, control; unite",糸,120.6,9,5,1765
265,区,qū,"area, district, region, ward",匸,23.2,4,4,94
266,保,bǎo,"protect, safeguard, defend, care",人,9.7,9,4,1562
267,至,zhì,"reach, arrive; extremely, very",至,133,6,4,410
268,队,duì,"team, group; army unit",阜,170.2,4,4,180
269,形,xíng,"form, shape, appearance",彡,59.4,7,5,604
270,社,shè,"god of the soil and altars to him; group of families; company, society",示,113.3,7,4,890
271,便,biàn,"convenience, ease; expedient",人,9.7,9,2,1556
272,空,kōng,"empty, hollow, bare, deserted",穴,116.3,8,3,1282
273,决,jué,"decide, determine, judge",冫,15.4,6,3,523
274,治,zhì,"govern, regulate, administer",水,85.5,8,5,1264
275,展,zhǎn,"open, unfold; stretch, extend",尸,44.7,10,4,2131
276,马,mǎ,horse; surname; KangXi radical 187,馬,187,3,3,72
277,科,kē,"section, department, science",禾,115.4,9,4,1551
278,司,sī,"take charge of, control, manage; officer",口,30.2,5,2,325
279,五,wǔ,five; surname,二,7.2,4,1,88
280,基,jī,"foundation, base",土,32.8,11,4,2193
281,眼,yǎn,"eye; eyelet, hole, opening",目,109.6,11,2,2263
282,书,shū,"book, letter, document; writings",丨,2.3,4,1,188
283,非,fēi,"not, negative, non-; oppose",非,175,8,2,1064
284,则,zé,"rule, law, regulation; grades",刀,18.4,6,4,440
285,听,tīng,"hear; understand; obey, comply",口,30.4,7,1,739
286,白,bái,"white; pure, unblemished; bright",白,106,5,2,275
287,却,què,"still, but; decline; retreat",卩,26.5,7,4,658
288,界,jiè,"boundary, limit; domain; society; the world",田,102.4,9,3,1496
289,达,dá,"arrive at, reach; intelligent; smooth, slippery",辵,162.3,6,5,398
290,光,guāng,"light, brilliant, shine; only",儿,10.4,6,4,417
291,放,fàng,"put, release, free, liberate",攴,66.4,8,3,1223
292,强,qiáng,"strong, powerful, energetic",弓,57.9,12,5,2802
293,即,jí,"promptly, quickly, immediately",卩,26.5,7,4,901
294,像,xiàng,"a picture, image, figure; to resemble",人,9.12,13,3,2961
295,难,nán,"difficult, arduous, hard; unable",又,29.8,10,3,2147
296,且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",一,1.4,5,3,237
297,权,quán,"power, right, authority",木,75.2,6,5,378
298,思,sī,"think, consider, ponder; final particle",心,61.5,9,2,1500
299,王,wáng,"king, ruler; royal; surname",玉,96,4,5,75
300,象,xiàng,"elephant; ivory; figure, image",豕,152.5,11,4,2361
301,完,wán,"complete, finish, settle; whole",宀,40.4,7,2,877
302,设,shè,build; establish; display,言,149.4,6,5,560
303,式,shì,"style, system, formula, rule",弋,56.3,6,4,349
304,色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",色,139,6,2,509
305,路,lù,"road, path, street; journey",足,157.6,13,2,2918
306,记,jì,"record; keep in mind, remember",言,149.3,5,3,323
307,南,nán,south; southern part; southward,十,24.7,9,3,1422
308,品,pǐn,"article, product, commodity",口,30.6,9,5,1503
309,住,zhù,"reside, live at, dwell, lodge; stop",人,9.5,7,1,783
310,告,gào,"tell, announce, inform; accuse",口,30.4,7,2,760
311,类,lèi,"class, group, kind, category",大,37.6,9,5,1646
312,求,qiú,"seek; demand, request; beseech",水,85.2,7,3,690
313,据,jù,"to occupy, take possession of; a base, position",手,64.8,11,3,2189
314,程,chéng,"journey, trip; schedule, agenda",禾,115.7,12,4,2677
315,北,běi,north; northern; northward,匕,21.3,5,1,227
316,边,biān,"edge, margin, side, border",辵,162.2,5,2,337
317,死,sǐ,die; dead; death,歹,78.2,6,4,400
318,张,zhāng,"stretch, extend, expand; sheet",弓,57.4,7,3,909
319,该,gāi,"should, ought to, need to",言,149.6,8,3,1300
320,交,jiāo,"mix; intersect; exchange, communicate; deliver",亠,8.4,6,4,519
321,规,guī,"rules, regulations, customs, law",見,147.4,8,4,952
322,万,wàn,ten thousand; innumerable,一,1.2,3,3,35
323,取,qǔ,"take, receive, obtain; select",又,29.6,8,4,997
324,拉,lā,"pull, drag; seize, hold; lengthen",手,64.5,8,4,981
325,格,gé,"pattern, standard, form; style",木,75.6,10,4,1845
326,望,wàng,"to look at, look forward; to hope, expect",月,74.7,11,2,2394
327,觉,jué,to wake up from sleep; conscious,見,147.5,9,1,1694
328,术,shù,"art, skill, special feat; method, technique",木,75.1,5,4,211
329,领,lǐng,"neck; collar; lead, guide",頁,181.5,11,5,2354
330,共,gòng,"together with, all, total; to share",八,12.4,6,2,371
331,确,què,"sure, certain; real, true",石,112.7,12,4,2591
332,传,chuán,"summon; propagate, transmit",人,9.4,6,4,455
333,师,shī,"teacher, master, specialist",巾,50.3,6,1,413
334,观,guān,"see, observe, view; appearance",見,147.2,6,4,586
335,清,qīng,"clear, pure, clean; peaceful",水,85.8,11,3,2410
336,今,jīn,"now, today, modern era",人,9.2,4,1,144
337,切,qiè,"cut, mince, slice, carve",刀,18.2,4,4,107
338,院,yuàn,"courtyard, yard, court; school",阜,170.7,9,1,1734
339,让,ràng,"allow, permit, yield, concede",言,149.3,5,2,317
340,识,shí,"recognize, understand, know",言,149.5,7,1,892
341,候,hòu,wait; expect; visit; greet,人,9.8,10,1,1964
342,带,dài,"belt, girdle, band, strap, zone",巾,50.6,9,3,1407
343,导,dǎo,"direct, guide, lead, conduct",寸,41.3,6,4,567
344,争,zhēng,"dispute, fight, contend, strive",亅,6.5,6,4,508
345,运,yùn,run; simplified form of,辵,162.4,7,2,611
346,笑,xiào,"smile, laugh, giggle; snicker",竹,118.4,10,2,1952
347,飞,fēi,fly; go quickly; dart; high,乙,5.2,3,1,69
348,风,fēng,"wind; air; manners, atmosphere",風,182,4,3,154
349,步,bù,"step, pace; walk, stroll",止,77.3,7,2,710
350,改,gǎi,"change, alter; improve, remodel",攴,66.3,7,4,908
351,收,shōu,"gather together, collect; harvest",攴,66.2,6,4,573
352,根,gēn,"root, base(d on); foundation",木,75.6,10,3,1850
353,干,gàn,"oppose, offend; invade; dried",干,51,3,3,23
354,造,zào,"construct, build, make, begin; prepare",辵,162.7,10,5,1940
355,言,yán,"words, speech; speak, say",言,149,7,4,826
356,联,lián,"connect, join; associate, ally",耳,128.6,12,4,2544
357,持,chí,"sustain, support; hold, grasp",手,64.6,9,4,1367
358,组,zǔ,"class; section, department",糸,120.5,8,5,1338
359,每,měi,"every, each",毋,80.3,7,2,767
360,济,jì,"help, aid, relieve; ferry, cross",水,85.6,9,4,1678
361,车,chē,"cart, vehicle; carry in cart",車,159,4,1,100
362,亲,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",立,117.4,9,4,1631
363,极,jí,"extreme, utmost, furthest, final",木,75.3,7,3,687
364,林,lín,"forest, grove; surname",木,75.4,8,4,1018
365,服,fú,"clothes; wear, dress",月,74.4,8,1,1190
366,快,kuài,"rapid, quick, speedy, fast; soon",心,61.4,7,2,876
367,办,bàn,"manage, do, handle; deal with",力,19.2,4,3,181
368,议,yì,"consult, talk over, discuss",言,149.3,5,3,320
369,往,wǎng,"go, depart; past, formerly",彳,60.5,8,2,1160
370,元,yuán,first; dollar; origin; head,儿,10.2,4,3,80
371,英,yīng,"petal, flower, leaf; brave, a hero; England, English",艸,140.5,8,5,1006
372,士,shì,"scholar, gentleman; soldier",士,33,3,4,28
373,证,zhèng,"prove, confirm, verify; proof",言,149.5,7,4,885
374,近,jìn,"near, close; approach; intimate",辵,162.4,7,2,791
375,失,shī,"lose; make mistake, neglect",大,37.2,5,4,265
376,转,zhuǎn,"shift, move, turn",車,159.4,8,4,1059
377,夫,fū,"man, male adult, husband; those",大,37.1,4,2,79
378,令,lìng,order,人,9.3,5,5,282
379,准,zhǔn,"approve, allow, permit; in accord",冫,15.8,10,2,2024
380,布,bù,"cotton cloth, textiles, linen",巾,50.2,5,5,218
381,始,shǐ,"begin, start; then, only then",女,38.5,8,2,1329
382,怎,zěn,what? why? how?,心,61.5,9,1,1543
383,呢,ne,interrogative or emphatic final; (Cant.) this,口,30.5,8,1,1102
384,存,cún,"exist, live, be; survive; remain",子,39.3,6,4,391
385,未,wèi,not yet; 8th terrestrial branch,木,75.1,5,5,192
386,远,yuǎn,"distant, remote, far; profound",辵,162.4,7,2,608
387,叫,jiào,"cry, shout; hail, greet, call",口,30.2,5,1,253
388,台,tái,platform; unit; term of address,口,30.2,5,4,342
389,单,dān,"single, individual, only; lone",八,12.6,8,3,1232
390,影,yǐng,"shadow; image, reflection; photograph",彡,59.12,15,1,3240
391,具,jù,"tool, implement; draw up, write",八,12.6,8,4,1077
392,罗,luō,net for catching birds; gauze,网,122.3,8,6,1108
393,字,zì,"letter, character, word",子,39.3,6,1,548
394,爱,ài,"love, be fond of, like",爪,87.6,10,1,1987
395,击,jī,"strike, hit, beat; attack, fight",凵,17.3,5,5,195
396,流,liú,"flow, circulate, drift; class",水,85.6,10,4,2080
397,备,bèi,"prepare, ready, perfect",夂,34.5,8,2,1200
398,兵,bīng,"soldier, troops",八,12.5,7,5,768
399,连,lián,"join, connect; continuous; even",辵,162.4,7,4,708
400,调,diào,"transfer, move, change; tune",言,149.8,10,3,2123
401,深,shēn,"deep; depth; far; very, extreme",水,85.8,11,4,2432
402,商,shāng,"commerce, business, trade",口,30.8,11,1,2391
403,算,suàn,"count, calculate, figure; plan",竹,118.8,14,3,3121
404,质,zhì,"matter, material, substance",厂,27.4,8,4,1157
405,团,tuán,"sphere, ball, circle; mass, lump",囗,31.3,6,5,425
406,集,jí,"assemble, collect together",隹,172.4,12,5,2694
407,百,bǎi,"one hundred; numerous, many",白,106.1,6,2,389
408,需,xū,"need, require, must",雨,173.6,14,3,3095
409,价,jià,"price, value",人,9.4,6,4,469
410,花,huā,flower; blossoms,艸,140.4,7,3,665
411,党,dǎng,"political party, gang, faction",儿,10.8,10,6,1885
412,华,huá,flowery; illustrious; Chinese,十,24.4,6,5,472
413,城,chéng,"castle; city, town; municipality",土,32.7,9,3,1373
414,石,shí,"stone, rock, mineral; rad. 112",石,112,5,5,216
415,级,jí,"level, rank, class; grade",糸,120.3,6,3,594
416,整,zhěng,"orderly, neat, tidy; whole",攴,66.11,16,4,3333
417,府,fǔ,prefecture; prefect; government,广,53.5,8,5,1211
418,离,lí,rare beast; strange; elegant,禸,114.6,10,2,2035
419,况,kuàng,"condition, situation; furthermore",冫,15.5,7,4,830
420,亚,yà,Asia; second,一,1.5,6,4,373
421,请,qǐng,"ask, request; invite; please",言,149.8,10,1,2108
422,技,jì,"skill, ability, talent, ingenuity",手,64.4,7,4,615
423,际,jì,"border, boundary, juncture",阜,170.5,7,4,911
424,约,yuē,"treaty, agreement, covenant",糸,120.3,6,4,593
425,示,shì,"show, manifest; demonstrate",示,113,5,4,194
426,复,fù,return; repeat; repeatedly,夊,35.6,9,3,1553
427,病,bìng,"illness, sickness, disease",疒,104.5,10,2,2027
